Date ID,Open,High,Low,Close,Adj Close,Volume,Date pos,Date 
30,124.470001,124.470001,122.190002,122.349998,122.349998,587800,1,30-Dec-19
31,122.25,122.790001,121.480003,122.43,122.43,613700,2,31-Dec-19
2020,123.529999,123.980003,121.400002,122.080002,122.080002,1114200,1,1-Jan-20
2,120.440002,122.5,120.279999,122.209999,122.209999,729100,2,2-Jan-20
3,122.019997,125.129997,121.550003,124.690002,124.690002,1678700,3,3-Jan-20
4,124.589996,126.470001,123.669998,125.510002,125.510002,1179300,4,4-Jan-20
5,125.959999,129,124.82,127.82,127.82,1665900,5,5-Jan-20
6,128.720001,129.550003,127.400002,128.020004,128.020004,804300,6,6-Jan-20
7,127.699997,128.529999,126.639999,126.760002,126.760002,864800,7,7-Jan-20
8,126.919998,128.570007,125.18,128.449997,128.449997,1061100,8,8-Jan-20
9,125.510002,127.529999,124.559998,126.93,126.93,1768800,9,9-Jan-20
10,127.089996,128.009995,126.050003,126.610001,126.610001,592600,10,10-Jan-20
11,126.849998,127.709999,126.279999,127.639999,127.639999,1041300,11,11-Jan-20
12,128.419998,130.419998,127.400002,130.009995,130.009995,1948900,12,12-Jan-20
13,129.070007,130.979996,127.470001,130.389999,130.389999,1398100,13,13-Jan-20
14,131.449997,133.360001,129.699997,130.110001,130.110001,1023100,14,14-Jan-20
15,130.440002,130.869995,128.669998,129.070007,129.070007,980800,15,15-Jan-20
16,128.039993,128.169998,125.160004,125.279999,125.279999,1267800,16,16-Jan-20
17,122.190002,123.959999,121.550003,123.07,123.07,1368600,17,17-Jan-20
18,123.110001,126.690002,123.110001,125.970001,125.970001,1502300,18,18-Jan-20
19,126.980003,127.050003,124.550003,125.910004,125.910004,934700,19,19-Jan-20
20,124.980003,127.599998,124.940002,127.43,127.43,1033700,20,20-Jan-20
21,126.400002,126.889999,124.269997,124.639999,124.639999,1486200,21,21-Jan-20
22,125.239998,126.349998,123.849998,124.349998,124.349998,1119000,22,22-Jan-20
23,126.300003,127.739998,124.800003,126.93,126.93,1653600,23,23-Jan-20
24,122.449997,123.919998,119.309998,120.760002,120.760002,2982300,24,24-Jan-20
25,121.050003,128.050003,121.050003,127.739998,127.739998,3333700,25,25-Jan-20
26,116,117.660004,112.580002,112.599998,112.599998,8808000,26,26-Jan-20
27,112.5,112.599998,109.089996,111,111,4090400,27,27-Jan-20
28,111,112.690002,110,112.389999,112.389999,2411100,28,28-Jan-20
29,112.529999,115.279999,112.010002,114.019997,114.019997,3782300,29,29-Jan-20
30,113.660004,114.260002,111.150002,112.209999,112.209999,2093300,30,30-Jan-20
31,112.580002,114.260002,111.769997,113.43,113.43,1117900,31,31-Jan-20
Feb,113.239998,114.169998,112.510002,113.43,113.43,1231700,32,1-Feb-20
2,114.099998,114.760002,113.470001,113.540001,113.540001,1225800,33,2-Feb-20
3,113.339996,115.209999,112.75,115.129997,115.129997,1612100,34,3-Feb-20
4,114.699997,116.580002,114.040001,116.029999,116.029999,2337300,35,4-Feb-20
5,114.510002,116.550003,112.739998,113.019997,113.019997,1960100,36,5-Feb-20
6,113.5,114.440002,110.589996,110.970001,110.970001,2362500,37,6-Feb-20
7,111.230003,112.5,109.449997,109.470001,109.470001,2561800,38,7-Feb-20
8,107.559998,111.959999,106.220001,107.839996,107.839996,2502800,39,8-Feb-20
9,106.559998,109.279999,105.269997,107.480003,107.480003,3385300,40,9-Feb-20
10,108.580002,112.129997,107.919998,112.059998,112.059998,2321900,41,10-Feb-20
11,111.75,115.040001,109.809998,111.220001,111.220001,2073500,42,11-Feb-20
12,113.440002,119.790001,113.440002,119.419998,119.419998,2573300,43,12-Feb-20
13,115.949997,119.080002,115.099998,117.269997,117.269997,2289900,44,13-Feb-20
14,113.699997,118.709999,113.470001,117.690002,117.690002,2426100,45,14-Feb-20
15,109.959999,118.029999,109.169998,113.879997,113.879997,2388800,46,15-Feb-20
16,118.599998,118.879997,113.300003,118.75,118.75,2474300,47,16-Feb-20
17,116.440002,119.830002,115.849998,119.050003,119.050003,2212100,48,17-Feb-20
18,112,116.730003,108.349998,108.360001,108.360001,3587500,49,18-Feb-20
19,113.769997,116.730003,109.419998,116.620003,116.620003,2637100,50,19-Feb-20
20,105.839996,115.169998,104.949997,108.010002,108.010002,2918800,51,20-Feb-20
21,110.529999,117.959999,105.150002,116.470001,116.470001,2956100,52,21-Feb-20
22,111.650002,120.5,101.800003,106.620003,106.620003,4012600,53,22-Feb-20
23,107.260002,108.75,102.970001,106.360001,106.360001,2358000,54,23-Feb-20
24,108.519997,110.139999,100,100.150002,100.150002,4210900,55,24-Feb-20
25,102.220001,111.940002,100.349998,109.82,109.82,2892900,56,25-Feb-20
26,114.089996,117.489998,108.389999,112.220001,112.220001,2642000,57,26-Feb-20
27,111.860001,115.300003,108,109.720001,109.720001,3034300,58,27-Feb-20
28,110.25,115.589996,108.610001,115.25,115.25,2233700,59,28-Feb-20
Mar,113.209999,114.580002,110,111.699997,111.699997,1880700,60,1-Mar-20
2,113.879997,119.889999,112.889999,118.510002,118.510002,3389300,61,2-Mar-20
3,118.339996,120.699997,116.290001,118.610001,118.610001,3100400,62,3-Mar-20
4,115.519997,123.910004,114.660004,116.330002,116.330002,3031100,63,4-Mar-20
5,117.089996,120.120003,115.489998,119.510002,119.510002,1725800,64,5-Mar-20
6,119.339996,121.599998,117.769997,118.489998,118.489998,1885000,65,6-Mar-20
7,120.650002,122.480003,119.010002,121.290001,121.290001,1626900,66,7-Mar-20
8,123.43,123.699997,117.199997,120.059998,120.059998,2387000,67,8-Mar-20
9,121.110001,122.120003,118.709999,119.099998,119.099998,1706200,68,9-Mar-20
10,119.5,121.239998,118.410004,119.400002,119.400002,1950000,69,10-Mar-20
11,118.650002,120.410004,117.269997,120,120,1641900,70,11-Mar-20
12,124.260002,125.669998,122.690002,122.779999,122.779999,3199800,71,12-Mar-20
13,122.489998,126.800003,121.739998,123.5,123.5,3584900,72,13-Mar-20
14,124.360001,127.269997,122.82,126.82,126.82,4626500,73,14-Mar-20
15,125.980003,126.25,121,124.440002,124.440002,3703400,74,15-Mar-20
16,124.239998,125.660004,123.110001,125.349998,125.349998,1881800,75,16-Mar-20
17,126.040001,128.080002,123.379997,125.730003,125.730003,2502900,76,17-Mar-20
18,126.690002,128.059998,123.459999,127.440002,127.440002,1938000,77,18-Mar-20
19,127.57,127.989998,124.120003,124.550003,124.550003,1485300,78,19-Mar-20
20,125.440002,127.980003,124.650002,127.879997,127.879997,1138700,79,20-Mar-20
